Piemonte;10,7;12,3
Valle d'Aosta / Vallée d'Aoste;9,1;7,6
Liguria;8,3;18,3
Lombardia;8,4;12,2
Trentino Alto Adige / Südtirol;5,3;5,3
Provincia Autonoma Bolzano / Bozen;3,7;5,5
Provincia Autonoma Trento;6,8;5,1
Veneto;9,3;9,8
Friuli-Venezia Giulia;10,4;8,2
Emilia-Romagna;6,9;12,6
Toscana;9,2;14,1
Umbria;8;24,8
Marche;8,4;12,4
Lazio;11,1;30,1
Abruzzo;6,5;19
Molise;8,9;12,6
Campania;19,6;18,7
Puglia;10,2;21,5
Basilicata;8,5;16,9
Calabria;11,7;17,1
Sicilia;13,3;18,6
Sardegna;6,4;19
