;2018;2019;2020;2021
Piemonte;1815545;1812536;1748169;1767300
Valle d'Aosta / Vallée d'Aoste;54777;55199;53103;52741
Liguria;601566;601748;579517;594600
Lombardia;4393447;4451020;4315136;4332516
Trentino Alto Adige / Südtirol;496172;500166;486176;487081
Veneto;2123868;2153657;2075428;2080525
Friuli-Venezia Giulia;507130;508166;506216;510300
Emilia-Romagna;1996335;2026012;1966237;1978442
Toscana;1578181;1584130;1544468;1546283
Umbria;349450;358280;348365;354249
Marche;632187;632492;611816;616562
Lazio;2324973;2333459;2258785;2265747
Abruzzo;493923;492616;475361;484388
Molise;105959;108496;103979;100276
Campania;1640947;1625580;1569819;1592095
Puglia;1201700;1216063;1188112;1206761
Basilicata;185328;187581;183695;189067
Calabria;540555;538640;513834;520963
Sicilia;1342939;1341533;1305304;1310864
Sardegna;573750;582033;551740;563197
