;vanno a piedi;usano mezzi di trasporto;treno;tram, bus;metropolitana;pullman, corriera;pullman aziendale;auto privata (come conducente);auto privata (come passeggero);motocicletta, ciclomotore;bicicletta;tempo impiegato;
Piemonte;11,8;88,2;3,1;5,6;3,4;1,4;0,2;71;5,3;1,1;2,6;36,2;17,2
Valle d'Aosta / Vallée d'Aoste;19,9;80,1;2,3;1;0,2;2,6;0,6;69,3;4,3;1,4;3,8;51,9;11,6
Liguria;17;83;8;14,1;2,5;1,7;0,5;50,2;3,6;15,6;1,7;31,6;21,3
Lombardia;10,5;89,4;5,6;5,5;8;1,8;0,3;68,1;5,6;3;4,2;32,2;22,1
Trentino Alto Adige / Südtirol;15,9;84,1;3,6;4,9;0;3,9;0,2;65,5;5,2;2,3;6,3;48;10,7
Provincia Autonoma Bolzano / Bozen;21,3;78,7;4,7;4,7;0;5,6;0,4;54,2;7,7;1,7;9,1;50,2;10
Provincia Autonoma Trento;10,3;89,7;2,4;5,1;0;2,2;0;77,1;2,6;2,9;3,3;45,7;11,3
Veneto;9,4;90,6;1,5;2,3;0,1;1,1;0,1;76,5;4,1;1,9;6,7;44;14,8
Friuli-Venezia Giulia;12,1;87,9;1,2;6,2;0,4;1,7;0,2;71,1;3,7;4;5,8;44,4;11,5
Emilia-Romagna;9,9;90,1;2,6;2,8;0,4;0,4;0,2;74,1;5,1;2,8;6,6;37,6;12,8
Toscana;11,3;88,7;3,3;4,1;0,1;0,8;0;71,2;4;5,1;4,8;38,9;12,2
Umbria;10,8;89,2;0,3;1,8;0;0,2;0;81;4,8;1,7;1,4;49,7;8,1
Marche;10,7;89,3;1,3;2,9;0,5;1;0,4;79,5;3,6;2,1;1,1;49,9;8,2
Lazio;11,2;88,8;5,4;11,7;9,9;2,6;0,8;62,4;5;4,6;1,3;21,7;27,7
Abruzzo;7,7;92,3;1,9;2,3;0,5;2,7;0;78;7,5;1,4;1,6;43,9;10,1
Molise;13,4;86,6;0,6;3;0,7;3,3;1;75,4;4,3;0;0,2;42,1;11,4
Campania;17,1;82,9;3,8;3,5;2,7;1,6;0,2;64,3;7,2;5,1;1;28,6;17,2
Puglia;15,7;84,3;1,5;2,3;0,5;2,5;0,7;66,8;9,8;1,4;2,3;37;10,3
Basilicata;14;86;0,8;2,1;0,9;5,9;1,4;65,4;13,2;0;0,2;42,9;15,1
Calabria;12,6;87,4;1,7;2,3;1,2;2,2;0,7;73,7;7,4;0,6;0,1;42,8;12
Sicilia;12,8;87,2;0,8;3,8;1,6;1,1;0,3;71,8;6,9;6,2;1,1;33,8;13
Sardegna;14,9;85,1;1,3;2,6;0,6;1,6;0,1;73,8;5,5;2;1,8;40,8;14,3
